"name","role","country","team","price"
"Ruturaj Gaikwad","BATSMAN","India","CSK","18.0"
"Ravindra Jadeja","ALL_ROUNDER","India","CSK","18.0"
"Matheesha Pathirana","BOWLER","Sri Lanka","CSK","13.0"
"Shivam Dube","BATSMAN","India","CSK","12.0"
"MS Dhoni","WICKETKEEPER","India","CSK","4.0"
"Devon Conway","BATSMAN","New Zealand","CSK","6.25"
"Rahul Tripathi","BATSMAN","India","CSK","3.4"
"Rachin Ravindra","ALL_ROUNDER","New Zealand","CSK","4.0"
"Ravichandran Ashwin","BOWLER","India","CSK","9.75"
"Syed Khaleel Ahmed","BOWLER","India","CSK","4.8"
"Noor Ahmad","BOWLER","Afghanistan","CSK","10.0"
"Vijay Shankar","ALL_ROUNDER","India","CSK","1.2"
"Sam Curran","ALL_ROUNDER","England","CSK","2.4"
"Shaik Rasheed","BATSMAN","India","CSK","0.3"
"Anshul Kamboj","ALL_ROUNDER","India","CSK","3.4"
"Mukesh Choudhary","BOWLER","India","CSK","0.3"
"Deepak Hooda","BATSMAN","India","CSK","1.7"
"Gurjapneet Singh","BOWLER","India","CSK","2.2"
"Nathan Ellis","BOWLER","Australia","CSK","1.25"
"Ramakrishna Ghosh","ALL_ROUNDER","India","CSK","0.3"
"Kamlesh Nagarkoti","BOWLER","India","CSK","0.3"
"Jamie Overton","ALL_ROUNDER","England","CSK","1.5"
"Shreyas Gopal","BOWLER","India","CSK","0.3"
"Vansh Bedi","BATSMAN","India","CSK","0.55"
"C Andre Siddarth","BATSMAN","India","CSK","0.3"
"Axar Patel","BOWLER","India","DC","16.5"
"Kuldeep Yadav","BOWLER","India","DC","13.25"
"Tristan Stubbs","BATSMAN","South Africa","DC","10.0"
"Abishek Porel","WICKETKEEPER","India","DC","4.0"
"Mitchell Starc","BOWLER","Australia","DC","11.75"
"KL Rahul","WICKETKEEPER","India","DC","14.0"
"Harry Brook","BATSMAN","England","DC","6.25"
"Jake Fraser-Mcgurk","BATSMAN","Australia","DC","9.0"
"T Natarajan","BOWLER","India","DC","10.75"
"Karun Nair","BATSMAN","India","DC","0.5"
"Sameer Rizvi","ALL_ROUNDER","India","DC","0.95"
"Ashutosh Sharma","ALL_ROUNDER","India","DC","3.8"
"Mohit Sharma","BOWLER","India","DC","2.2"
"Faf du Plessis","BATSMAN","South Africa","DC","2.0"
"Mukesh Kumar","BOWLER","India","DC","8.0"
"Darshan Nalkande","ALL_ROUNDER","India","DC","0.3"
"Vipraj Nigam","ALL_ROUNDER","India","DC","0.5"
"Dushmantha Chameera","BOWLER","Sri Lanka","DC","0.75"
"Donovan Ferreira","BATSMAN","South Africa","DC","0.75"
"Ajay Mandal","ALL_ROUNDER","India","DC","0.3"
"Manvanth Kumar","ALL_ROUNDER","India","DC","0.3"
"Madhav Tiwari","ALL_ROUNDER","India","DC","0.4"
"Tripurana Vijay","ALL_ROUNDER","India","DC","0.3"
"Rashid Khan","BOWLER","Afghanistan","GT","18.0"
"Shubman Gill","BATSMAN","India","GT","16.5"
"Sai Sudharsan","BATSMAN","India","GT","8.5"
"Rahul Tewatia","ALL_ROUNDER","India","GT","4.0"
"Shahrukh Khan","BATSMAN","India","GT","4.0"
"Kagiso Rabada","BOWLER","South Africa","GT","10.75"
"Jos Buttler","BATSMAN","England","GT","15.75"
"Mohammad Siraj","BATSMAN","India","GT","12.25"
"Prasidh Krishna","BOWLER","India","GT","9.5"
"Nishant Sindhu","ALL_ROUNDER","India","GT","0.3"
"Mahipal Lomror","ALL_ROUNDER","India","GT","1.7"
"Kumar Kushagra","WICKETKEEPER","India","GT","0.65"
"Anuj Rawat","WICKETKEEPER","India","GT","0.3"
"Manav Suthar","BOWLER","India","GT","0.3"
"Washington Sundar","ALL_ROUNDER","India","GT","3.2"
"Gerald Coetzee","BOWLER","South Africa","GT","2.4"
"Arshad Khan","ALL_ROUNDER","India","GT","1.3"
"Gurnoor Brar","BOWLER","India","GT","1.3"
"Sherfane Rutherford","BATSMAN","West Indies","GT","2.6"
"R Sai Kishore","ALL_ROUNDER","India","GT","2.0"
"Ishant Sharma","BOWLER","India","GT","0.75"
"Jayant Yadav","ALL_ROUNDER","India","GT","0.75"
"Glenn Phillips","ALL_ROUNDER","New Zealand","GT","2.0"
"Karim Janat","ALL_ROUNDER","Afghanistan","GT","0.75"
"Kulwant Khejroliya","BOWLER","India","GT","0.3"
"Rinku Singh","BATSMAN","India","KKR","13.0"
"Varun Chakaravarthy","BOWLER","India","KKR","12.0"
"Sunil Narine","ALL_ROUNDER","West Indies","KKR","12.0"
"Andre Russell","ALL_ROUNDER","West Indies","KKR","12.0"
"Harshit Rana","BOWLER","India","KKR","4.0"
"Ramandeep Singh","BATSMAN","India","KKR","4.0"
"Venkatesh Iyer","BATSMAN","India","KKR","23.75"
"Quinton de Kock","WICKETKEEPER","South Africa","KKR","3.6"
"Rahmanullah Gurbaz","WICKETKEEPER","Afghanistan","KKR","2.0"
"Anrich Nortje","BOWLER","South Africa","KKR","6.5"
"Angkrish Raghuvanshi","ALL_ROUNDER","India","KKR","3.0"
"Vaibhav Arora","BOWLER","India","KKR","1.8"
"Mayank Markande","BOWLER","India","KKR","0.3"
"Rovman Powell","BATSMAN","West Indies","KKR","1.5"
"Manish Pandey","BATSMAN","India","KKR","0.75"
"Spencer Johnson","BOWLER","Australia","KKR","2.8"
"Luvnith Sisodia","BATSMAN","India","KKR","0.3"
"Ajinkya Rahane","BATSMAN","India","KKR","1.5"
"Anukul Roy","ALL_ROUNDER","India","KKR","0.4"
"Moeen Ali","ALL_ROUNDER","England","KKR","2.0"
"Umran Malik","BOWLER","India","KKR","0.75"
"Nicholas Pooran","WICKETKEEPER","West Indies","LSG","21.0"
"Ravi Bishnoi","BOWLER","India","LSG","11.0"
"Mayank Yadav","BOWLER","India","LSG","11.0"
"Mohsin Khan","BOWLER","India","LSG","4.0"
"Ayush Badoni","BATSMAN","India","LSG","4.0"
"Rishabh Pant","WICKETKEEPER","India","LSG","27.0"
"David Miller","BATSMAN","South Africa","LSG","7.5"
"Mitchell Marsh","ALL_ROUNDER","Australia","LSG","3.4"
"Aiden Markram","BATSMAN","South Africa","LSG","2.0"
"Avesh Khan","BOWLER","India","LSG","9.75"
"Abdul Samad","ALL_ROUNDER","India","LSG","4.2"
"Aryan Juyal","WICKETKEEPER","India","LSG","0.3"
